#time,80x01-02_engine-rpm,80x03_coolant_temp,80x04_ambient_temp,80x05_intake_air_temp,80x06_fuel_temp,80x07_map_kpa,80x08_battery_voltage,80x09_throttle_pot,80x0A_idle_switch,80x0B_aircon,80x0C_park_neutral_switch,80x0F_idle_set_point,80x10_idle_hot,80x12_iac_position,80x13-14_idle_error,80x15_ignition_advance_offset,80x16_ignition_advance,80x17-18_coil_time,80x19_crankshaft_position_sensor,coolant_sensor_fault,air_intake_sensor_fault,fuel_pump_circuit_fault,throttle_pot_fault,0x80_raw,7dx01_ignition_switch,7dx02_throttle_angle,7dx04_air_fuel_ratio,7dx06_lambda_voltage,7dx07_lambda_sensor_frequency,7dx08_lambda_sensor_dutycycle,7dx09_lambda_sensor_status,7dx0A_closed_loop,7dx0B_long_term_fuel_trim,7dx0C_short_term_fuel_trim,7dx0D_carbon_canister_dutycycle,7dx0F_idle_base_pos,7dx12_ignition_advance2,7dx13_idle_speed_offset,7dx1F_jack_count,0x7d_raw
2023-05-15 19:38:50.260,1123,43,200,21,200,32,13.8,0.64,0,true,true,0,26,93,0,0,12,2.64,16,false,false,false,false,801C046362FF4CFF208A200020010000001A8B5D000400480526100000,true,10.8,14.6,135,255,255,1,true,11,2,0,81,0,128,22,7D201012FF92401BFFFF01018B6600FF51FFFF30807FFBFF16C01C4023C031C016
2023-05-15 19:38:50.996,1135,44,200,21,200,33,13.8,0.64,0,true,true,0,26,93,0,0,12,2.62,16,false,false,false,false,801C046F63FF4CFF218A200020010000001A8B5D000A0048051C100000,true,10.8,14.6,235,255,255,1,true,11,3,0,81,0,128,22,7D201012FF92402FFFFF01018B6700FF51FFFF3080800BFF16C01C4023C031C016
2023-05-15 19:38:51.746,1144,44,200,21,200,32,13.8,0.64,0,true,true,0,26,93,0,0,11.5,2.61,16,false,false,false,false,801C047863FF4CFF208A200020010000001A8B5D001200470518100000,true,10.8,14.6,840,255,255,1,true,11,0,0,81,0,128,22,7D201012FF9240A8FFFF01018B6400FF51FFFF3080800CFF16C01C4023C031C016
2023-05-15 19:38:52.465,1130,44,200,21,200,32,13.8,0.64,0,true,true,0,26,93,0,0,13,2.61,16,false,false,false,false,801C046A63FF4CFF208A200020010000001A8B5D0001004A0517100000,true,10.8,14.6,775,255,255,1,true,11,-1,0,81,0,128,22,7D201012FF92409BFFFF01018B6300FF51FFFF30808001FF16C01C4023C031C016
2023-05-15 19:38:53.169,1137,44,200,21,200,33,13.8,0.64,0,true,true,0,26,93,0,0,11.5,2.6,16,false,false,false,false,801C047163FF4CFF218A200020010000001A8B5D000F00470512100000,true,10.8,14.6,480,255,255,1,true,11,2,0,81,0,128,22,7D201012FF924060FFFF01018B6600FF51FFFF30808009FF16C01C4023C031C016
2023-05-15 19:38:53.903,1128,44,200,21,200,33,13.9,0.64,0,true,true,0,26,93,0,0,11.5,2.59,16,false,false,false,false,801C046863FF4CFF218B200020010000001A8B5D000600470510100000,true,10.8,14.6,685,255,255,1,true,11,-1,0,81,0,128,22,7D201012FF924089FFFF01018B6300FF51FFFF3080800FFF16C01C4023C031C016
2023-05-15 19:38:54.639,1128,44,200,21,200,33,13.8,0.64,0,true,true,0,26,93,0,0,12,2.6,16,false,false,false,false,801C046863FF4CFF218A200020010000001A8B5D000000480512100000,true,10.8,14.6,220,255,255,1,true,11,0,0,81,0,128,22,7D201012FF92402CFFFF01018B6400FF51FFFF30807FFDFF16C01C4023C031C016
2023-05-15 19:38:55.406,1135,44,200,21,200,33,13.8,0.64,0,true,true,0,26,93,0,0,13,2.6,16,false,false,false,false,801C046F63FF4CFF218A200020010000001A8B5D0007004A0515100000,true,10.8,14.6,335,255,255,1,true,11,1,0,81,0,128,22,7D201012FF924043FFFF01018B6500FF51FFFF30808006FF16C01C4023C031C016
2023-05-15 19:38:56.605,1128,44,200,21,200,33,13.9,0.64,0,true,true,0,26,93,0,0,11.5,2.58,16,false,false,false,false,801C046863FF4CFF218B200020010000001A8B5D00080047050B100000,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,
2023-05-15 19:38:56.189,1137,44,200,21,200,31,13.9,0.64,0,true,true,0,26,93,0,0,12,2.61,16,false,false,false,false,801C047163FF4CFF1F8B200020010000001A8B5D000500480519100000,true,10.8,14.6,405,255,255,1,true,11,2,0,81,0,128,22,7D201012FF924051FFFF01018B6600FF51FFFF30808025FF16C01C4023C031C016
2023-05-15 19:38:57.307,1127,45,200,21,200,32,13.8,0.64,0,true,true,0,26,92,0,0,11.5,2.58,16,false,false,false,false,801C046764FF4CFF208A200020010000001A8B5C00190047050A100000,true,10.8,14.6,815,255,255,1,true,11,-1,0,80,0,128,22,7D201012FF9240A3FFFF01018B6300FF50FFFF30808013FF16C01C4023C031C016
2023-05-15 19:38:58.107,1113,45,200,21,200,32,13.9,0.64,0,true,true,0,26,92,0,0,12,2.61,16,false,false,false,false,801C045964FF4CFF208B200020010000001A8B5C00070048051A100000,true,10.8,14.6,130,255,255,1,true,11,1,0,80,0,128,22,7D201012FF92401AFFFF01018B6500FF50FFFF3080800BFF16C01C4023C031C016
2023-05-15 19:38:59.002,1112,45,200,21,200,32,13.9,0.64,0,true,true,0,26,92,0,0,11.5,2.6,16,false,false,false,false,801C045864FF4CFF208B200020010000001A8B5C000A00470513100000,true,10.8,14.6,285,255,255,1,true,11,2,0,80,0,128,22,7D201012FF924039FFFF01018B6600FF50FFFF30808004FF16C01C4023C031C016
2023-05-15 19:38:59.865,1119,45,200,21,200,33,13.9,0.64,0,true,true,0,26,92,0,0,10.5,2.6,16,false,false,false,false,801C045F64FF4CFF218B200020010000001A8B5C001000450516100000,true,10.8,14.6,455,255,255,1,true,11,3,0,80,0,128,22,7D201012FF92405BFFFF01018B6700FF50FFFF3080801BFF16C01C4023C031C016
2023-05-15 19:39:00.696,1123,45,200,21,200,33,13.8,0.64,0,true,true,0,26,92,0,0,11.5,2.6,16,false,false,false,false,801C046364FF4CFF218A200020010000001A8B5C001000470514100000,true,10.8,14.6,840,255,255,1,true,11,0,0,80,0,128,22,7D201012FF9240A8FFFF01018B6400FF50FFFF30808016FF16C01C4023C031C016
2023-05-15 19:39:01.495,1118,45,200,21,200,33,13.8,0.62,0,true,true,0,26,91,0,0,11.5,2.6,16,false,false,false,false,801C045E64FF4CFF218A1F0020010000001A8B5B001300470514100000,true,10.2,14.6,770,255,255,1,true,11,-1,0,80,0,128,22,7D201011FF92409AFFFF01018B6300FF50FFFF30808006FF16C01C4023C031C016
2023-05-15 19:39:02.214,1103,45,200,21,200,32,13.9,0.62,0,true,true,0,26,91,0,0,12,2.59,16,false,false,false,false,801C044F64FF4CFF208B1F0020010000001A8B5B00000048050F100000,true,10.2,14.6,110,255,255,1,true,11,1,0,80,0,128,22,7D201011FF924016FFFF01018B6500FF50FFFF30808008FF16C01C4023C031C016
2023-05-15 19:39:03.045,1130,45,200,21,200,32,13.8,0.62,0,true,true,0,26,91,0,0,11.5,2.59,16,false,false,false,false,801C046A64FF4CFF208A1F0020010000001A8B5B000D0047050E100000,true,10.2,14.6,600,255,255,1,true,11,0,0,80,0,128,22,7D201011FF924078FFFF01018B6400FF50FFFF30808014FF16C01C4023C031C016
2023-05-15 19:39:04.100,1108,45,200,21,200,31,13.8,0.62,0,true,true,0,26,91,0,0,11.5,2.6,16,false,false,false,false,801C045464FF4CFF1F8A1F0020010000001A8B5B001200470516100000,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,
2023-05-15 19:39:03.732,1110,45,200,21,200,32,13.8,0.62,0,true,true,0,26,91,0,0,10.5,2.61,16,false,false,false,false,801C045664FF4CFF208A1F0020010000001A8B5B001000450518100000,true,10.2,14.6,820,255,255,1,true,11,-2,0,80,0,128,22,7D201011FF9240A4FFFF01018B6200FF50FFFF30808016FF16C01C4023C031C016
2023-05-15 19:39:04.915,1108,45,200,21,200,33,13.9,0.62,0,true,true,0,26,91,0,0,12,2.61,16,false,false,false,false,801C045464FF4CFF218B1F0020010000001A8B5B000500480517100000,true,10.2,14.6,630,255,255,1,true,11,-2,0,80,0,128,22,7D201011FF92407EFFFF01018B6200FF50FFFF30808000FF16C01C4023C031C016
2023-05-15 19:39:05.666,1106,45,200,21,200,33,13.9,0.62,0,true,true,0,26,91,0,0,12,2.59,16,false,false,false,false,801C045264FF4CFF218B1F0020010000001A8B5B000300480510100000,true,10.2,14.6,105,255,255,1,true,11,0,0,80,0,128,22,7D201011FF924015FFFF01018B6400FF50FFFF30807FFFFF16C01C4023C031C016
2023-05-15 19:39:06.497,1105,45,200,21,200,33,13.8,0.62,0,true,true,0,26,91,0,0,11.5,2.61,16,false,false,false,false,801C045164FF4CFF218A1F0020010000001A8B5B000400470518100000,true,10.2,14.6,95,255,255,1,true,11,1,0,80,0,128,22,7D201011FF924013FFFF01018B6500FF50FFFF3080800EFF16C01C4023C031C016
